epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,9549.04,0.15789,0.09682,0.23461,0.90731,0.94285,0.89794,0.95145,0.85524,0.94621,0.90608,0.96048,0.8624,0.50312,0.72779,0.60772,0.97837,0.00954046,0.00954046,0.00954046
94,9651.9,0.16485,0.10922,0.14181,0.90979,0.90773,0.88474,0.94156,0.84527,0.90301,0.89648,0.94956,0.87496,0.46802,0.44969,0.80478,0.96265,0.00953546,0.00953546,0.00953546
95,9754.58,0.16306,0.09775,0.13933,0.91097,0.971,0.89328,0.94386,0.84751,0.96639,0.88995,0.94943,0.84683,0.50894,0.70263,0.89037,0.97335,0.00953047,0.00953047,0.00953047
96,9857.3,0.16734,0.10912,0.14469,0.91052,0.97782,0.89395,0.94495,0.84971,0.97001,0.8976,0.95235,0.86358,0.46426,0.44234,0.82552,0.88799,0.00952548,0.00952548,0.00952548
97,9959.89,0.16023,0.10036,0.13665,0.91042,0.90273,0.8207,0.89652,0.81425,0.90735,0.83612,0.9127,0.84444,0.48701,0.4517,0.90209,0.89447,0.00952048,0.00952048,0.00952048
98,10063,0.1599,0.09576,0.1376,0.90753,0.87834,0.91142,0.94022,0.8296,0.88162,0.91249,0.94384,0.86514,0.45942,0.40792,1.06431,0.91385,0.00951549,0.00951549,0.00951549
99,10165.6,0.15917,0.08716,0.13604,0.9115,0.90006,0.90353,0.94399,0.74468,0.89712,0.8934,0.9457,0.77994,0.6537,0.42607,1.18464,1.0341,0.00951049,0.00951049,0.00951049
100,10268.1,0.16025,0.09191,0.13137,0.90841,0.93222,0.87727,0.94643,0.76403,0.9233,0.88647,0.95157,0.79084,0.5728,0.47033,0.99611,0.93966,0.0095055,0.0095055,0.0095055
101,10370.8,0.1601,0.09511,0.13251,0.90776,0.88616,0.88581,0.93861,0.78787,0.88723,0.88687,0.93953,0.79759,0.53137,0.50752,1.21446,0.96868,0.0095005,0.0095005,0.0095005
102,10473.5,0.15769,0.09349,0.13622,0.90725,0.93304,0.91035,0.95098,0.82851,0.94373,0.91462,0.9519,0.86408,0.55342,0.42889,1.26195,1.01393,0.0094955,0.0094955,0.0094955
